project,repeat,metric,NB,XGBoost_ablation,XGBoost_proposed
pytorch,0,acc,0.831858407079646,0.8893805309734514,0.8893805309734514
pytorch,1,acc,0.8805309734513275,0.8982300884955752,0.8716814159292036
pytorch,2,acc,0.8451327433628318,0.8938053097345132,0.8982300884955752
pytorch,3,acc,0.8584070796460177,0.8893805309734514,0.8716814159292036
pytorch,4,acc,0.8451327433628318,0.9203539823008849,0.9026548672566371
pytorch,5,acc,0.8672566371681416,0.8893805309734514,0.8849557522123894
pytorch,6,acc,0.8230088495575221,0.8761061946902655,0.8893805309734514
pytorch,7,acc,0.8451327433628318,0.8672566371681416,0.8761061946902655
pytorch,8,acc,0.8362831858407079,0.8672566371681416,0.8672566371681416
pytorch,9,acc,0.8495575221238938,0.8849557522123894,0.8716814159292036
pytorch,10,acc,0.827433628318584,0.8893805309734514,0.8982300884955752
pytorch,11,acc,0.8362831858407079,0.8805309734513275,0.9026548672566371
pytorch,12,acc,0.8451327433628318,0.8938053097345132,0.8849557522123894
pytorch,13,acc,0.8495575221238938,0.8716814159292036,0.8938053097345132
pytorch,14,acc,0.8362831858407079,0.8938053097345132,0.8849557522123894
pytorch,15,acc,0.8407079646017699,0.8938053097345132,0.8761061946902655
pytorch,16,acc,0.8495575221238938,0.8849557522123894,0.8938053097345132
pytorch,17,acc,0.8761061946902655,0.8849557522123894,0.8716814159292036
pytorch,18,acc,0.8628318584070797,0.8893805309734514,0.8849557522123894
pytorch,19,acc,0.8451327433628318,0.8938053097345132,0.8805309734513275
pytorch,20,acc,0.8230088495575221,0.8893805309734514,0.8849557522123894
pytorch,21,acc,0.8495575221238938,0.8672566371681416,0.8893805309734514
pytorch,22,acc,0.8584070796460177,0.8805309734513275,0.8495575221238938
pytorch,23,acc,0.8185840707964602,0.8805309734513275,0.8893805309734514
pytorch,24,acc,0.827433628318584,0.8761061946902655,0.8672566371681416
pytorch,25,acc,0.8362831858407079,0.9026548672566371,0.8893805309734514
pytorch,26,acc,0.8716814159292036,0.8761061946902655,0.8628318584070797
pytorch,27,acc,0.8407079646017699,0.9070796460176991,0.8849557522123894
pytorch,28,acc,0.8539823008849557,0.8982300884955752,0.8805309734513275
pytorch,29,acc,0.8407079646017699,0.915929203539823,0.9070796460176991
pytorch,0,prec,0.5867595818815331,0.7622863247863247,0.7672619047619047
pytorch,1,prec,0.7467592592592592,0.7924679487179487,0.7058823529411764
pytorch,2,prec,0.5838948787061995,0.7704994192799071,0.7814171122994653
pytorch,3,prec,0.6236786469344608,0.7742587601078168,0.7019230769230769
pytorch,4,prec,0.5991071428571428,0.8492450638792102,0.7967479674796748
pytorch,5,prec,0.6549249836921069,0.7622863247863247,0.7486631016042781
pytorch,6,prec,0.5448766844647852,0.7180023228803717,0.7622863247863247
pytorch,7,prec,0.5375,0.7033082443549799,0.7247311827956989
pytorch,8,prec,0.545822102425876,0.6885329265191965,0.7005397357156151
pytorch,9,prec,0.5758985200845665,0.7459954233409611,0.7079207920792079
pytorch,10,prec,0.5510149572649572,0.7672619047619047,0.7924679487179487
pytorch,11,prec,0.5202492211838007,0.7313106796116505,0.7916041979010495
pytorch,12,prec,0.5642523364485981,0.7636329797133817,0.7426865671641791
pytorch,13,prec,0.5758985200845665,0.7019230769230769,0.7747266717518433
pytorch,14,prec,0.5202492211838007,0.7747266717518433,0.743424317617866
pytorch,15,prec,0.5543517515348502,0.7883096366508688,0.7169036334913113
pytorch,16,prec,0.5488991295442909,0.7431998286571,0.7674020132790748
pytorch,17,prec,0.7224782386072709,0.7426865671641791,0.71
pytorch,18,prec,0.6053030303030303,0.7622863247863247,0.7442508710801394
pytorch,19,prec,0.5838948787061995,0.7626465954839838,0.7335034013605441
pytorch,20,prec,0.526034337179848,0.7742587601078168,0.7583965330444205
pytorch,21,prec,0.6214466647903181,0.6947954594131506,0.7622863247863247
pytorch,22,prec,0.6067588325652842,0.7467592592592592,0.6463910901692012
pytorch,23,prec,0.5208333333333334,0.7312293729372937,0.7562388591800356
pytorch,24,prec,0.5077493261455526,0.7169036334913113,0.6767786204405923
pytorch,25,prec,0.5202492211838007,0.8122713200112581,0.7587378640776699
pytorch,26,prec,0.6909090909090909,0.7172641749300788,0.6917388167388168
pytorch,27,prec,0.5740916271721959,0.8135922330097087,0.7431998286571
pytorch,28,prec,0.6082554517133957,0.8008928571428571,0.7336309523809523
pytorch,29,prec,0.5281183932346724,0.8681547619047619,0.8345238095238094
pytorch,0,rec,0.5653772098722213,0.6718886749518642,0.6571853667075092
pytorch,1,rec,0.5932959915981096,0.6916681253281989,0.6617363906879048
pytorch,2,rec,0.5435848065814808,0.703833362506564,0.7210747418169088
pytorch,3,rec,0.5511990197794504,0.6424820584631542,0.6323297741991948
pytorch,4,rec,0.5582881148258358,0.763171713635568,0.7236128128828987
pytorch,5,rec,0.5415718536670752,0.6718886749518642,0.6546472956415194
pytorch,6,rec,0.5308944512515316,0.6642744617538946,0.6718886749518642
pytorch,7,rec,0.5141781900927709,0.7033082443549799,0.7377910029756696
pytorch,8,rec,0.5238053562051462,0.629791703133205,0.6886049361106249
pytorch,9,rec,0.5314195694031157,0.6693506038858743,0.6764396989322597
pytorch,10,rec,0.5334325223175215,0.6571853667075092,0.6916681253281989
pytorch,11,rec,0.5091020479607912,0.6668125328198844,0.7383161211272536
pytorch,12,rec,0.5288814983371258,0.747943287239629,0.7134605286189393
pytorch,13,rec,0.5314195694031157,0.6323297741991948,0.689130054262209
pytorch,14,rec,0.5091020479607912,0.689130054262209,0.7575704533520042
pytorch,15,rec,0.526343427271136,0.6597234377734991,0.6201645370208297
pytorch,16,rec,0.5167162611587607,0.6987572203745842,0.718536670750919
pytorch,17,rec,0.5760546122877648,0.7134605286189393,0.6911430071766147
pytorch,18,rec,0.5243304743567303,0.6718886749518642,0.6840539121302293
pytorch,19,rec,0.5435848065814808,0.7626465954839838,0.7403290740416594
pytorch,20,rec,0.5161911430071766,0.6424820584631542,0.6252406791528093
pytorch,21,rec,0.5755294941361807,0.6591983196219149,0.6718886749518642
pytorch,22,rec,0.5364957115350955,0.5932959915981096,0.6196394188692456
pytorch,23,rec,0.5136530719411868,0.6962191493085945,0.7012952914405741
pytorch,24,rec,0.5040259058288115,0.6201645370208297,0.58568177840014
pytorch,25,rec,0.5091020479607912,0.6942061963941887,0.6865919831962192
pytorch,26,rec,0.544109924733065,0.6495711535095396,0.6860668650446351
pytorch,27,rec,0.541046735515491,0.7261508839488885,0.6987572203745842
pytorch,28,rec,0.5486609487134605,0.6769648170838438,0.6374059163311745
pytorch,29,rec,0.511640119026781,0.7165237178365131,0.6967442674601786
pytorch,0,f1,0.5727363184079601,0.7031783556606251,0.6915096915096914
pytorch,1,f1,0.6211585025144347,0.7269240872077751,0.6795266735122977
pytorch,2,f1,0.5502359697503838,0.7301492537313433,0.7458314996821671
pytorch,3,f1,0.5611650485436893,0.6787399783931313,0.6556868925663252
pytorch,4,f1,0.5681135681135681,0.7976119402985075,0.752636815920398
pytorch,5,f1,0.5472756410256411,0.7031783556606251,0.6853715999143285
pytorch,6,f1,0.5338283828382838,0.6851741293532339,0.7031783556606251
pytorch,7,f1,0.5089091699261191,0.7033082443549799,0.730952380952381
